ID,EDO,MES,ANIO,MPIO,HORA,MINUTOS,DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,TOTMUERTOS,TOTHERIDOS,CLASE,CALLE1,CALLE2,CARRETERA,LONGITUD,LATITUD,OID
1084915-999-37,1,3,2022,1,8,25,9,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,48,0,0,0,0,0,0,0,0,0,0,0,0,3,SIGLO XXI,CIELO CLARO,,-102.25340179999999,21.89521146,670
1084915-999-38,1,3,2022,1,12,30,9,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,9,30,0,0,0,0,0,0,0,0,0,0,0,0,3,PRÓCERES DE LA ENSEÑANZA,CALIXTO SERNA VALDIVIA,,-102.23808819999999,21.87339375,671
1084915-999-39,1,3,2022,1,16,0,9,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,21,0,0,0,0,0,0,0,0,0,0,0,0,3,JUAN PABLO II,FRENTE TIENDA WALMART,,-102.33905190000002,21.86081833,672
1084915-999-4,1,3,2022,1,17,20,27,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,19,0,1,0,0,0,0,0,0,0,0,0,1,2,ARQUEROS,HÉROE INMORTAL,,-102.2694103,21.85998269,673
1084915-999-40,1,3,2022,1,17,30,9,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,5,9,35,0,0,0,0,0,0,0,0,0,0,0,0,3,SAN FRANCISCO DE LOS VIVEROS 2203,SAN FRANCISCO DE LOS VIVEROS PRIVADA,,-102.23410030000001,21.88437718,674
1084915-999-41,1,3,2022,1,18,35,9,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,45,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES SUR,PASEO DE LA ASUNCIÓN,,-102.2989514,21.85962283,675
1084915-999-42,1,3,2022,1,8,55,10,4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,5,9,31,0,0,0,0,0,0,0,0,0,0,0,0,3,COTO 215,BENEDICTO XVI,,-102.2971113,21.80884642,676
1084915-999-43,1,3,2022,1,16,15,10,4,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,50,0,0,0,0,0,0,0,0,0,0,0,0,3,MAHATMA GANDHI,AGUASCALIENTES SUR,,-102.29490240000001,21.85782178,677
1084915-999-44,1,3,2022,1,16,30,10,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,36,0,0,0,0,0,0,0,0,0,0,0,0,3,GENERAL GUADALUPE VICTORIA,LARREÁTEGUI,,-102.2984738,21.8859768,678
1084915-999-45,1,3,2022,1,19,0,10,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,24,0,0,0,0,0,0,0,0,0,0,0,0,3,UNIVERSIDAD TECNOLÓGICA - CIUDAD DE LOS NIÑOS,,UNIVERSIDAD TECNOLÓGICA - CIUDAD DE LOS NIÑOS,-102.3545693,21.840709,679
